Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Payment_Method,Rating
10018,16-04-2025,C1018,Customer 19,Male,61,Mumbai,Mumbai State,West,Electronics,Laptop,7,3002,15,17861.9,Cash,1
10019,18-05-2025,C1019,Customer 20,Male,45,Bengaluru,Bengaluru State,South,Furniture,Chair,4,1669,5,6342.2,Upi,3
10020,13-01-2025,C1020,Customer 21,Male,23,Bengaluru,Bengaluru State,South,Clothing,T-Shirt,8,4608,0,36864,Upi,2
10021,12-02-2025,C1021,Customer 22,Male,42,Bengaluru,Bengaluru State,South,Grocery,Milk,4,3385,0,13540,Credit Card,4
10022,18-02-2025,C1022,Customer 23,Male,21,Lucknow,Lucknow State,North,Grocery,Oil,9,4086,5,34935.3,Cash,3
10023,10-02-2025,C1023,Customer 24,Male,29,Delhi,Delhi State,North,Electronics,Keyboard,8,4219,20,27001.6,Cash,5
10024,29-05-2025,C1024,Customer 25,Male,57,Delhi,Delhi State,North,Clothing,Jeans,2,4766,5,9055.4,Cash,4
10025,21-06-2025,C1025,Customer 26,Female,33,Kolkata,Kolkata State,East,Sports,Shoes,6,2236,5,12745.2,Credit Card,4
10026,28-04-2025,C1026,Customer 27,Male,22,Mumbai,Mumbai State,West,Furniture,Table,6,694,0,4164,Upi,5
10027,14-03-2025,C1027,Customer 28,Female,52,Lucknow,Lucknow State,North,Clothing,Jeans,2,2101,10,3781.8,Credit Card,5
10028,04-02-2025,C1028,Customer 29,Male,24,Kolkata,Kolkata State,East,Electronics,Keyboard,9,2552,0,22968,Upi,3
10029,10-05-2025,C1029,Customer 30,Female,21,Lucknow,Lucknow State,North,Sports,Football,6,1767,10,9541.8,Cash,4
10030,11-02-2025,C1030,Customer 31,Female,53,Lucknow,Lucknow State,North,Electronics,Laptop,6,1171,10,6323.4,Debit Card,5
10031,05-04-2025,C1031,Customer 32,Male,45,Delhi,Delhi State,North,Electronics,Laptop,3,4569,0,13707,Upi,1
10032,20-06-2025,C1032,Customer 33,Female,53,Lucknow,Lucknow State,North,Furniture,Chair,6,1820,5,10374,Debit Card,5
10033,15-02-2025,C1033,Customer 34,Female,44,Mumbai,Mumbai State,West,Clothing,T-Shirt,3,3477,0,10431,Upi,3
10034,21-02-2025,C1034,Customer 35,Female,37,Mumbai,Mumbai State,West,Electronics,Mouse,1,3955,5,3757.25,Upi,2
10035,13-03-2025,C1035,Customer 36,Female,61,Delhi,Delhi State,North,Clothing,Jeans,6,2382,0,14292,Credit Card,1
10036,28-01-2025,C1036,Customer 37,Female,40,Delhi,Delhi State,North,Furniture,Chair,10,2274,0,22740,Credit Card,4
10037,07-03-2025,C1037,Customer 38,Female,18,Kolkata,Kolkata State,East,Sports,Football,7,4823,5,32072.95,Cash,3
10038,18-03-2025,C1038,Customer 39,Female,60,Bengaluru,Bengaluru State,South,Electronics,Keyboard,6,2671,0,16026,Debit Card,3
10039,20-06-2025,C1039,Customer 40,Male,57,Bengaluru,Bengaluru State,South,Furniture,Sofa,3,1671,15,4261.05,Credit Card,4
10040,29-05-2025,C1040,Customer 41,Female,47,Kolkata,Kolkata State,East,Electronics,Mouse,5,1821,15,7739.25,Debit Card,4
10041,12-05-2025,C1041,Customer 42,Female,23,Mumbai,Mumbai State,West,Sports,Bat,3,794,10,2143.8,Upi,3
10042,02-05-2025,C1042,Customer 43,Male,47,Mumbai,Mumbai State,West,Clothing,T-Shirt,1,478,5,454.1,Debit Card,5
10043,17-06-2025,C1043,Customer 44,Male,24,Mumbai,Mumbai State,West,Grocery,Milk,7,2098,5,13951.7,Debit Card,3
10044,01-02-2025,C1044,Customer 45,Male,47,Mumbai,Mumbai State,West,Sports,Bat,1,4666,5,4432.7,Credit Card,4
10045,02-05-2025,C1045,Customer 46,Female,33,Kolkata,Kolkata State,East,Sports,Bat,9,3752,5,32079.6,Credit Card,5
10046,02-03-2025,C1046,Customer 47,Female,38,Bengaluru,Bengaluru State,South,Clothing,Jeans,8,734,10,5284.8,Cash,2
10047,17-04-2025,C1047,Customer 48,Female,52,Mumbai,Mumbai State,West,Clothing,Jeans,3,1852,0,5556,Debit Card,4
10048,28-05-2025,C1048,Customer 49,Female,18,Delhi,Delhi State,North,Clothing,Jeans,7,4884,0,34188,Credit Card,3
10049,26-02-2025,C1049,Customer 50,Female,49,Bengaluru,Bengaluru State,North,Grocery,Oil,9,1906,15,14580.9,Cash,4
10050,09-06-2025,C1050,Customer 51,Male,43,Lucknow,Lucknow State,North,Grocery,Oil,3,3928,5,11194.8,Cash,1
10051,08-04-2025,C1051,Customer 52,Male,47,Bengaluru,Bengaluru State,South,Clothing,Jeans,3,511,10,1379.7,Credit Card,3
10052,05-01-2025,C1052,Customer 53,Male,40,Bengaluru,Bengaluru State,South,Furniture,Table,5,770,15,3272.5,Upi,1
10053,09-02-2025,C1053,Customer 54,Male,48,Delhi,Delhi State,North,Electronics,Laptop,4,266,20,851.2,Cash,5
10054,05-06-2025,C1054,Customer 55,Male,28,Mumbai,Mumbai State,West,Grocery,Oil,5,3121,5,14824.75,Credit Card,1
10055,20-02-2025,C1055,Customer 56,Male,24,Kolkata,Kolkata State,East,Electronics,Mouse,10,3174,15,26979,Credit Card,3
10056,19-06-2025,C1056,Customer 57,Male,50,Delhi,Delhi State,North,Sports,Football,6,4464,15,22766.4,Credit Card,1
10057,09-02-2025,C1057,Customer 58,Male,64,Bengaluru,Bengaluru State,South,Grocery,Rice,7,3067,15,18248.65,Credit Card,5
10058,24-03-2025,C1058,Customer 59,Male,-4,Kolkata,Kolkata State,East,Grocery,Milk,7,4953,10,31203.9,Debit Card,2
10059,07-05-2025,C1059,Customer 60,Male,49,Bengaluru,Bengaluru State,South,Sports,Shoes,7,2855,0,19985,Upi,3
10060,03-01-2025,C1060,Customer 61,Male,23,Lucknow,Lucknow State,North,Furniture,Table,10,2363,20,18904,Upi,4
10061,05-01-2025,C1061,Customer 62,Female,32,Bengaluru,Bengaluru State,South,Sports,Football,8,4120,15,28016,Debit Card,2
10062,30-03-2025,C1062,Customer 63,Female,40,Lucknow,Lucknow State,North,Sports,Bat,8,4634,20,29657.6,Debit Card,3
10063,31-01-2025,C1063,Customer 64,Male,30,Lucknow,Lucknow State,North,Furniture,Chair,2,1677,10,3018.6,Upi,4
10064,19-02-2025,C1064,Customer 65,Male,41,Lucknow,Lucknow State,North,Sports,Shoes,10,2418,0,24180,Upi,3
10065,22-05-2025,C1065,Customer 66,Male,58,Delhi,Delhi State,North,Sports,Football,5,472,0,2360,Debit Card,1
10066,29-03-2025,C1066,Customer 67,Male,34,Delhi,Delhi State,North,Sports,Bat,8,4021,15,27342.8,Debit Card,1
10067,08-02-2025,C1067,Customer 68,Female,23,Delhi,Delhi State,North,Grocery,Milk,2,4826,0,9652,Upi,1
10068,08-04-2025,C1068,Customer 69,Female,37,Kolkata,Kolkata State,East,Grocery,Oil,10,1948,20,15584,Debit Card,3
10069,10-06-2025,C1069,Customer 70,Female,60,Kolkata,Kolkata State,East,Sports,Football,10,912,5,8664,Cash,2
10070,15-04-2025,C1070,Customer 71,Female,36,Mumbai,Mumbai State,West,Clothing,Jacket,2,1382,0,2764,Cash,2
10071,09-03-2025,C1071,Customer 72,Male,45,Lucknow,Lucknow State,North,Furniture,Sofa,8,683,5,5190.8,Cash,5
10072,12-02-2025,C1072,Customer 73,Female,46,Mumbai,Mumbai State,West,Clothing,Jeans,3,684,0,2052,Cash,4
10073,23-04-2025,C1073,Customer 74,Male,45,Lucknow,Lucknow State,North,Grocery,Milk,9,4523,15,34600.95,Credit Card,5
10074,06-01-2025,C1074,Customer 75,Female,54,Lucknow,Lucknow State,North,Electronics,Laptop,4,4812,20,15398.4,Cash,2
10075,30-05-2025,C1075,Customer 76,Female,23,Bengaluru,Bengaluru State,South,Sports,Shoes,8,2378,5,18072.8,Debit Card,3
10076,16-04-2025,C1076,Customer 77,Female,36,Bengaluru,Bengaluru State,South,Furniture,Table,2,1417,10,2550.6,Debit Card,5
10077,30-01-2025,C1077,Customer 78,Male,60,Delhi,Delhi State,North,Grocery,Rice,6,2167,10,11701.8,Debit Card,4
10078,14-01-2025,C1078,Customer 79,Female,53,Delhi,Delhi State,North,Clothing,Jacket,6,4183,15,21333.3,Upi,3
10079,21-03-2025,C1079,Customer 80,Male,53,Bengaluru,Bengaluru State,South,Grocery,Rice,1,2060,5,1957,Debit Card,1
10080,16-03-2025,C1080,Customer 81,Female,44,Mumbai,Mumbai State,West,Electronics,Mouse,2,1361,15,2313.7,Debit Card,4
10081,03-06-2025,C1081,Customer 82,Male,22,Mumbai,Mumbai State,West,Grocery,Oil,3,3242,5,9239.7,Credit Card,4
10082,31-05-2025,C1082,Customer 83,Female,27,Lucknow,Lucknow State,North,Sports,Bat,1,2417,10,2175.3,Debit Card,5
10083,27-04-2025,C1083,Customer 84,Male,62,Bengaluru,Bengaluru State,South,Furniture,Table,9,4551,15,34815.15,Upi,5
10084,30-06-2025,C1084,Customer 85,Female,60,Bengaluru,Bengaluru State,South,Clothing,Jeans,1,2706,15,2300.1,Upi,4
10085,23-04-2025,C1085,Customer 86,Female,18,Delhi,Delhi State,North,Clothing,Jacket,10,2819,0,28190,Upi,4
10086,27-06-2025,C1086,Customer 87,Male,39,Mumbai,Mumbai State,West,Electronics,Mouse,5,2873,20,11492,Debit Card,3
10087,11-06-2025,C1087,Customer 88,Female,32,Bengaluru,Bengaluru State,South,Sports,Football,10,660,5,6270,Cash,4
10088,12-01-2025,C1088,Customer 89,Male,36,Delhi,Delhi State,North,Electronics,Mouse,3,2553,0,7659,Credit Card,3
10089,24-06-2025,C1089,Customer 90,Male,29,Bengaluru,Bengaluru State,South,Clothing,T-Shirt,9,3475,20,25020,Cash,5
10090,06-02-2025,C1090,Customer 91,Female,58,Bengaluru,Bengaluru State,South,Sports,Shoes,4,4176,20,13363.2,Credit Card,4
10091,19-01-2025,C1091,Customer 92,Female,55,Lucknow,Lucknow State,North,Electronics,Mouse,5,4577,5,21740.75,Credit Card,4
10092,28-01-2025,C1092,Customer 93,Female,54,Lucknow,Lucknow State,North,Grocery,Milk,4,3251,15,11053.4,Credit Card,5
10093,25-05-2025,C1093,Customer 94,Male,56,Lucknow,Lucknow State,North,Furniture,Chair,7,2348,0,16436,Debit Card,3
10094,06-03-2025,C1094,Customer 95,Male,58,Mumbai,Mumbai State,West,Sports,Bat,4,1657,20,5302.4,Cash,1
10095,24-01-2025,C1095,Customer 96,Female,65,Lucknow,Lucknow State,North,Grocery,Rice,10,3088,5,29336,Debit Card,2
10096,11-03-2025,C1096,Customer 97,Female,48,Mumbai,Mumbai State,West,Clothing,Jacket,6,4448,20,21350.4,Credit Card,3
10097,23-05-2025,C1097,Customer 98,Male,43,Delhi,Delhi State,North,Grocery,Rice,3,1948,15,4967.4,Cash,3
10098,08-04-2025,C1098,Customer 99,Female,24,Kolkata,Kolkata State,East,Electronics,Mouse,6,2247,20,10785.6,Upi,4
10099,12-06-2025,C1099,Customer 100,Female,59,Delhi,Delhi State,North,Sports,Shoes,6,1913,0,11478,Debit Card,1
10100,25-01-2025,C1100,Customer 101,Male,42,Mumbai,Mumbai State,West,Electronics,Laptop,5,4135,0,20675,Debit Card,3
10101,06-05-2025,C1101,Customer 102,Female,35,Kolkata,Kolkata State,East,Grocery,Oil,3,3498,0,10494,Cash,3
10102,25-06-2025,C1102,Customer 103,Female,21,Mumbai,Mumbai State,West,Grocery,Milk,4,3071,0,12284,Debit Card,3
10103,06-01-2025,C1103,Customer 104,Female,33,Mumbai,Mumbai State,West,Electronics,Mouse,2,1837,10,2939.2,Upi,5
10104,01-03-2025,C1104,Customer 105,Male,56,Mumbai,Mumbai State,North,Electronics,Keyboard,4,4903,5,18631.4,Cash,3
10105,19-06-2025,C1105,Customer 106,Male,18,Mumbai,Mumbai State,West,Clothing,Jacket,5,1529,0,7645,Credit Card,2
10106,02-02-2025,C1106,Customer 107,Female,51,Kolkata,Kolkata State,East,Furniture,Chair,3,2273,0,6819,Cash,1
10107,26-04-2025,C1107,Customer 108,Male,57,Bengaluru,Bengaluru State,South,Grocery,Milk,9,4963,0,44667,Cash,5
10108,13-04-2025,C1108,Customer 109,Male,49,Lucknow,Lucknow State,North,Grocery,Oil,1,598,15,508.3,Debit Card,1
10109,12-03-2025,C1109,Customer 110,Female,42,Delhi,Delhi State,North,Furniture,Sofa,3,638,5,1818.3,Credit Card,4
10110,25-02-2025,C1110,Customer 111,Female,32,Kolkata,Kolkata State,East,Sports,Bat,2,1037,20,1659.2,Debit Card,3
10111,22-03-2025,C1111,Customer 112,Female,41,Bengaluru,Bengaluru State,South,Grocery,Milk,2,2660,15,4522,Upi,4
10112,06-04-2025,C1112,Customer 113,Male,55,Delhi,Delhi State,North,Electronics,Laptop,2,3637,0,7274,Credit Card,1
10113,03-06-2025,C1113,Customer 114,Female,24,Bengaluru,Bengaluru State,South,Furniture,Sofa,7,521,10,3282.3,Upi,2
10114,30-01-2025,C1114,Customer 115,Male,45,Bengaluru,Bengaluru State,South,Clothing,T-Shirt,6,4656,10,25142.4,Cash,5
10115,31-03-2025,C1115,Customer 116,Male,27,Lucknow,Lucknow State,North,Electronics,Laptop,5,2631,10,11839.5,Debit Card,1
10116,18-04-2025,C1116,Customer 117,Female,28,Mumbai,Mumbai State,West,Electronics,Laptop,9,1862,15,14244.3,Credit Card,3
10117,10-02-2025,C1117,Customer 118,Male,61,Lucknow,Lucknow State,North,Sports,Shoes,2,530,5,1007,Cash,3
10118,11-03-2025,C1118,Customer 119,Male,40,Bengaluru,Bengaluru State,South,Grocery,Milk,10,3721,15,31628.5,Debit Card,1
10119,26-02-2025,C1119,Customer 120,Male,18,Lucknow,Lucknow State,North,Sports,Bat,9,2626,0,23634,Upi,3
10120,02-01-2025,C1120,Customer 121,Female,29,Mumbai,Mumbai State,West,Clothing,Jeans,5,2516.5,0,13935,Upi,4
10121,12-04-2025,C1121,Customer 122,Male,45,Kolkata,Kolkata State,East,Clothing,Jacket,9,2516.5,0,27009,Cash,4
10122,13-06-2025,C1122,Customer 123,Female,25,Delhi,Delhi State,North,Furniture,Sofa,7,4797,15,28542.15,Debit Card,1
10123,22-04-2025,C1123,Customer 124,Male,45,Lucknow,Lucknow State,North,Clothing,Jacket,8,3064,0,24512,Debit Card,5
10124,13-02-2025,C1124,Customer 125,Male,51,Delhi,Delhi State,North,Grocery,Milk,6,1915,10,10341,Upi,3
10125,20-02-2025,C1125,Customer 126,Male,59,Lucknow,Lucknow State,North,Clothing,T-Shirt,2,1299,10,2338.2,Cash,2
10126,14-06-2025,C1126,Customer 127,Female,58,Bengaluru,Bengaluru State,South,Grocery,Oil,10,3777,20,30216,Credit Card,2
10127,01-06-2025,C1127,Customer 128,Female,50,Bengaluru,Bengaluru State,South,Electronics,Mouse,8,2580,10,18576,Cash,3
10128,20-01-2025,C1128,Customer 129,Male,57,Bengaluru,Bengaluru State,South,Grocery,Rice,1,3120,10,2808,Debit Card,4
10129,16-06-2025,C1129,Customer 130,Female,56,Kolkata,Kolkata State,East,Sports,Shoes,1,3784,20,3027.2,Debit Card,5
10130,10-05-2025,C1130,Customer 131,Male,20,Mumbai,Mumbai State,West,Electronics,Mouse,2,2913,0,5826,Upi,4
10131,06-04-2025,C1131,Customer 132,Female,44,Bengaluru,Bengaluru State,South,Sports,Shoes,10,1400,10,12600,Credit Card,5
10132,23-06-2025,C1132,Customer 133,Female,34,Delhi,Delhi State,North,Furniture,Chair,6,874,20,4195.2,Upi,3
10133,17-06-2025,C1133,Customer 134,Female,26,Delhi,Delhi State,North,Sports,Shoes,3,2965,10,8005.5,Cash,3
10134,24-01-2025,C1134,Customer 135,Female,50,Kolkata,Kolkata State,East,Grocery,Oil,6,1146,20,5500.8,Credit Card,1
10135,19-02-2025,C1135,Customer 136,Male,27,Lucknow,Lucknow State,North,Furniture,Chair,4,2899,15,9856.6,Cash,3
10136,08-06-2025,C1136,Customer 137,Female,27,Delhi,Delhi State,North,Sports,Shoes,9,409,10,3312.9,Upi,2
10137,04-04-2025,C1137,Customer 138,Male,46,Kolkata,Kolkata State,East,Clothing,Jacket,8,457,15,3107.6,Cash,4
10138,05-04-2025,C1138,Customer 139,Female,47,Mumbai,Mumbai State,West,Sports,Football,5,3942,5,18724.5,Credit Card,4
10139,05-02-2025,C1139,Customer 140,Male,59,Kolkata,Kolkata State,East,Sports,Bat,3,1735,20,4164,Debit Card,3
10140,22-01-2025,C1140,Customer 141,Female,46,Kolkata,Kolkata State,East,Electronics,Keyboard,9,1121,10,9080.1,Upi,4
10141,14-01-2025,C1141,Customer 142,Female,33,Delhi,Delhi State,North,Clothing,Jeans,6,318,15,1621.8,Debit Card,1
10142,07-02-2025,C1142,Customer 143,Male,36,Lucknow,Lucknow State,North,Clothing,T-Shirt,6,911,10,4919.4,Debit Card,2
10143,07-03-2025,C1143,Customer 144,Male,53,Bengaluru,Bengaluru State,South,Grocery,Oil,1,749,0,749,Debit Card,1
10144,18-04-2025,C1144,Customer 145,Female,22,Lucknow,Lucknow State,North,Clothing,Jeans,2,491,5,932.9,Cash,4
10145,06-02-2025,C1145,Customer 146,Female,18,Kolkata,Kolkata State,East,Sports,Football,9,4810,5,41125.5,Credit Card,2
10146,18-01-2025,C1146,Customer 147,Male,42,Kolkata,Kolkata State,East,Grocery,Rice,2,4388,10,7898.4,Debit Card,1
10147,30-03-2025,C1147,Customer 148,Male,55,Bengaluru,Bengaluru State,South,Furniture,Table,1,3025,0,3025,Credit Card,2
10148,28-06-2025,C1148,Customer 149,Male,26,Delhi,Delhi State,North,Furniture,Sofa,6,1534,15,7823.4,Cash,4
10149,22-03-2025,C1149,Customer 150,Female,52,Delhi,Delhi State,North,Furniture,Chair,1,1734,0,1734,Debit Card,3
10150,11-03-2025,C1150,Customer 151,Female,45,Delhi,Delhi State,North,Clothing,Jeans,6,491,10,2651.4,Debit Card,4
10151,13-05-2025,C1151,Customer 152,Male,64,Bengaluru,Bengaluru State,South,Furniture,Chair,8,4175,10,30060,Debit Card,1
10152,27-01-2025,C1152,Customer 153,Female,60,Nan,Bengaluru State,South,Sports,Football,9,2506,10,20298.6,Credit Card,3
10153,31-03-2025,C1153,Customer 154,Male,64,Bengaluru,Bengaluru State,South,Sports,Shoes,7,1465,15,8716.75,Credit Card,5
10154,04-04-2025,C1154,Customer 155,Male,19,Bengaluru,Bengaluru State,South,Furniture,Sofa,1,714,15,606.9,Upi,5
10155,03-04-2025,C1155,Customer 156,Male,56,Bengaluru,Bengaluru State,South,Electronics,Laptop,2,2033,10,3659.4,Upi,4
10156,16-05-2025,C1156,Customer 157,Female,38,Lucknow,Lucknow State,North,Furniture,Table,2,4801,5,9121.9,Credit Card,2
10157,10-04-2025,C1157,Customer 158,Male,34,Delhi,Delhi State,North,Electronics,Keyboard,3,4188,20,10051.2,Credit Card,4
10158,04-02-2025,C1158,Customer 159,Female,29,Mumbai,Mumbai State,West,Sports,Bat,8,1739,0,13912,Debit Card,1
10159,16-03-2025,C1159,Customer 160,Male,63,Lucknow,Lucknow State,North,Furniture,Sofa,2,4605,20,7368,Upi,3
10160,07-05-2025,C1160,Customer 161,Female,53,Kolkata,Kolkata State,East,Clothing,T-Shirt,4,1237,5,4700.6,Credit Card,4
10161,12-04-2025,C1161,Customer 162,Female,51,Kolkata,Kolkata State,East,Clothing,Jacket,2,638,10,1148.4,Debit Card,4
10162,30-04-2025,C1162,Customer 163,Female,26,Kolkata,Kolkata State,East,Electronics,Laptop,6,707,15,3605.7,Upi,2
10163,19-03-2025,C1163,Customer 164,Male,38,Bengaluru,Bengaluru State,South,Sports,Football,2,4344,5,8253.6,Upi,3
10164,12-03-2025,C1164,Customer 165,Female,57,Kolkata,Kolkata State,East,Furniture,Chair,5,1708,20,6832,Cash,5
10165,04-06-2025,C1165,Customer 166,Male,19,Mumbai,Mumbai State,West,Sports,Shoes,3,1502,20,3604.8,Cash,1
10166,08-06-2025,C1166,Customer 167,Male,49,Kolkata,Kolkata State,East,Furniture,Sofa,4,4786,15,16272.4,Credit Card,3
10167,19-01-2025,C1167,Customer 168,Male,28,Bengaluru,Bengaluru State,South,Clothing,Jacket,7,2536,15,15089.2,Debit Card,4
10168,23-03-2025,C1168,Customer 169,Female,43,Bengaluru,Bengaluru State,South,Grocery,Rice,6,1276,10,6890.4,Upi,3
10169,01-02-2025,C1169,Customer 170,Female,33,Kolkata,Kolkata State,East,Sports,Football,6,2080,15,10608,Upi,1
10170,10-02-2025,C1170,Customer 171,Female,30,Nan,Delhi State,North,Furniture,Table,10,3525,10,33487.5,Upi,4
10171,24-01-2025,C1171,Customer 172,Female,33,Kolkata,Kolkata State,East,Grocery,Milk,5,4174,0,20870,Upi,5
10172,17-06-2025,C1172,Customer 173,Female,36,Lucknow,Lucknow State,North,Electronics,Laptop,5,4154,20,16616,Cash,1
10173,12-01-2025,C1173,Customer 174,Male,54,Bengaluru,Bengaluru State,South,Clothing,Jeans,6,2516.5,10,18376.2,Upi,3
10174,21-05-2025,C1174,Customer 175,Male,26,Kolkata,Kolkata State,East,Furniture,Chair,7,4230,15,25168.5,Cash,4
10175,04-06-2025,C1175,Customer 176,Female,50,Lucknow,Lucknow State,North,Furniture,Sofa,6,1281,5,7301.7,Cash,1
10176,27-04-2025,C1176,Customer 177,Male,38,Delhi,Delhi State,North,Clothing,Jacket,6,3980,20,19104,Credit Card,2
10177,10-05-2025,C1177,Customer 178,Female,63,Bengaluru,Bengaluru State,South,Sports,Shoes,5,4963,10,22333.5,Credit Card,4
10178,20-03-2025,C1178,Customer 179,Male,56,Delhi,Delhi State,North,Furniture,Table,2,3512,20,5619.2,Debit Card,3
10179,13-02-2025,C1179,Customer 180,Female,27,Kolkata,Kolkata State,East,Sports,Football,1,4880,15,4148,Upi,1
10180,18-04-2025,C1180,Customer 181,Female,-4,Kolkata,Kolkata State,East,Electronics,Laptop,1,3712,10,3340.8,Upi,4
10181,23-02-2025,C1181,Customer 182,Female,60,Kolkata,Kolkata State,East,Sports,Bat,1,1231,20,984.8,Debit Card,5
10182,20-05-2025,C1182,Customer 183,Female,57,Bengaluru,Bengaluru State,South,Furniture,Chair,8,4467,10,32162.4,Debit Card,2
10183,15-03-2025,C1183,Customer 184,Male,62,Mumbai,Mumbai State,West,Furniture,Sofa,5,1942,10,8739,Debit Card,3
10184,27-05-2025,C1184,Customer 185,Female,43,Bengaluru,Bengaluru State,South,Furniture,Sofa,5,2457,0,12285,Credit Card,2
10185,17-06-2025,C1185,Customer 186,Female,31,Lucknow,Lucknow State,North,Electronics,Mouse,2,2937,15,4992.9,Upi,5
10186,07-06-2025,C1186,Customer 187,Male,33,Lucknow,Lucknow State,North,Sports,Shoes,5,1224,0,6120,Cash,5
10187,01-05-2025,C1187,Customer 188,Male,18,Mumbai,Mumbai State,West,Clothing,T-Shirt,2,3485,10,6273,Upi,4
10188,15-03-2025,C1188,Customer 189,Male,23,Bengaluru,Bengaluru State,South,Grocery,Oil,4,2453,10,8830.8,Upi,5
10189,07-05-2025,C1189,Customer 190,Female,20,Delhi,Delhi State,North,Clothing,Jeans,3,397,15,1012.35,Cash,3
10190,14-06-2025,C1190,Customer 191,Female,26,Kolkata,Kolkata State,East,Sports,Football,6,2431,15,12398.1,Debit Card,3
10191,17-02-2025,C1191,Customer 192,Female,36,Mumbai,Mumbai State,West,Electronics,Mouse,3,2516.5,10,10419.3,Upi,2
10192,13-04-2025,C1192,Customer 193,Male,29,Kolkata,Kolkata State,East,Grocery,Milk,9,2786,0,25074,Upi,4
10193,25-04-2025,C1193,Customer 194,Female,37,Lucknow,Lucknow State,North,Clothing,T-Shirt,5,3242,5,15399.5,Cash,3
10194,10-02-2025,C1194,Customer 195,Female,62,Lucknow,Lucknow State,North,Clothing,T-Shirt,2,3912,10,7041.6,Cash,3
10195,09-02-2025,C1195,Customer 196,Female,44,Lucknow,Lucknow State,North,Sports,Football,4,1194,15,4059.6,Debit Card,5
10196,25-04-2025,C1196,Customer 197,Female,22,Mumbai,Mumbai State,West,Clothing,Jacket,10,770,20,6160,Cash,1
10197,12-02-2025,C1197,Customer 198,Female,25,Kolkata,Kolkata State,East,Sports,Football,10,4496,5,42712,Upi,5
10198,03-02-2025,C1198,Customer 199,Female,47,Bengaluru,Bengaluru State,South,Electronics,Keyboard,8,555,15,3774,Cash,5
10199,01-01-2025,C1199,Customer 200,Male,-4,Bengaluru,Bengaluru State,South,Furniture,Sofa,1,3343,10,3008.7,Cash,1
10200,18-01-2025,C1200,Customer 201,Male,36,Bengaluru,Bengaluru State,South,Furniture,Sofa,2,4533,0,9066,Debit Card,2
10201,07-04-2025,C1201,Customer 202,Male,59,Mumbai,Mumbai State,West,Grocery,Milk,7,3774,15,22455.3,Credit Card,1
10202,01-01-2025,C1202,Customer 203,Female,47,Mumbai,Mumbai State,West,Sports,Bat,9,1143,5,9772.65,Debit Card,5
10203,12-03-2025,C1203,Customer 204,Male,20,Bengaluru,Bengaluru State,South,Clothing,T-Shirt,8,2935,5,22306,Debit Card,3
